## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.custom1,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
100,mountains,portfolio images1,The mist over the mountains,https://nisha-nagen.github.io/statictemplate/images/p1.jpg,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Everest_North_Face_toward_Base_Camp_Tibet_Luca_Galuzzi_2006.jpg/1024px-Everest_North_Face_toward_Base_Camp_Tibet_Luca_Galuzzi_2006.jpg,,,,,,,,,,,,,
200,bear,portfolio images2,Bear closeup,https://nisha-nagen.github.io/statictemplate/images/p3.jpg,,https://upload.wikimedia.org/wikipedia/commons/9/9e/Ours_brun_parcanimalierpyrenees_1.jpg,,,,,,,,,,,,,
300,coffee bean,portfolio images3,Coffee Beans,https://nisha-nagen.github.io/statictemplate/images/p2.jpg,,https://i.pinimg.com/originals/7b/9e/01/7b9e01f27c4f6fbfebb9a74c7bde6f23.jpg,,,,,,,,,,,,,
1111,ocean,portfolio images4,Quiet Ocean,https://nisha-nagen.github.io/statictemplate/images/p4.jpg,,https://www.wavecity.in/wp-content/uploads/2017/07/Featured-7.jpg,,,,,,,,,,,,,
2222,mist,portfolio images5,The Mist,https://nisha-nagen.github.io/statictemplate/images/p5.jpg,,"https://res.cloudinary.com/dtpgi0zck/image/upload/s--t11i_yLZ--/c_fit,h_580,w_860/v1/EducationHub/photos/duck-in-mist.jpg", ,,,,,,,,,,,,
3333,typewriter,portfolio images6,My typewriter,https://nisha-nagen.github.io/statictemplate/images/p6.jpg,,https://w0.peakpx.com/wallpaper/836/270/HD-wallpaper-retro-typewriter-ultra-vintage-paper-desk-table-classic-writer-hands-work-retro-keys-story-keyboard-writing-typewriter-hipster-typing-oldfashioned-aesthetic-topview.jpg,,,,,,,,,,,,,
4444,train,portfolio images7,Empty Train,https://nisha-nagen.github.io/statictemplate/images/p7.jpg,,https://i.ndtvimg.com/i/2017-12/mumbai-locals-mumbai_650x400_61514051211.jpg,,,,,,,,,,,,,
5555,sailing,portfolio images8,Sail in the Sea,https://nisha-nagen.github.io/statictemplate/images/p8.jpg,,https://cms-media.getmyboat.com/production/images/Ocean_Sailing.width-1110.jpg,,,,,,,,,,,,,
6666,mywork1,portfolio images9,Girl with Hat,https://nisha-nagen.github.io/statictemplate/images/avatar_hat.jpg,,https://img.traveltriangle.com/blog/wp-content/uploads/2019/04/Places-To-Visit-In-Summer-In-Karnataka-cover.jpg,,,,,,,,,,,,,
7777,mywork2,portfolio images10,parallex1,https://nisha-nagen.github.io/statictemplate/images/parallax1.jpg,,https://trendaroundus.in/wp-content/uploads/2022/01/Famous-Historical-Places-in-Karnataka-800x425.jpg,,,,,,,,,,,,,
8888,mywork3,portfolio images11,parallex2,https://nisha-nagen.github.io/statictemplate/images/parallax2.jpg,,https://curlytales.com/wp-content/uploads/2021/03/Untitled-2021-03-30T125032.903.jpg,,,,,,,,,,,,,
9999,mywork4,portfolio images12,parallex3,https://nisha-nagen.github.io/statictemplate/images/parallax3.jpg,,https://assets.traveltriangle.com/blog/wp-content/uploads/2016/07/Lalbagh-Glasshouse-of-Bangalore-in-Karnataka.jpg,,,,,,,,,,,,,
