## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.cartIds,entity.pageUrl,entity.inventory,entity.margin,entity.custom1,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
1111,mountains,portfolio images1,The mist over the mountains,https://nisha-nagen.github.io/statictemplate/images/p1.jpg,1111,,,,,,,,,,,,,,
2222,bear,portfolio images2,Bear closeup,https://nisha-nagen.github.io/statictemplate/images/p3.jpg,2222,,,,,,,,,,,,,,
3333,coffee bean,portfolio images3,Coffee Bean,https://nisha-nagen.github.io/statictemplate/images/p2.jpg,3333,,,,,,,,,,,,,,
4444,ocean,portfolio images4,Quiet Ocean,https://nisha-nagen.github.io/statictemplate/images/p4.jpg,4444,,,,,,,,,,,,,,
5555,mist,portfolio images5,The Mist,https://nisha-nagen.github.io/statictemplate/images/p5.jpg,5555,,,,,,,,,,,,,,
6666,typewriter,portfolio images6,My typewriter,https://nisha-nagen.github.io/statictemplate/images/p6.jpg,6666,,,,,,,,,,,,,,
7777,train,portfolio images7,Empty Train,https://nisha-nagen.github.io/statictemplate/images/p7.jpg,7777,,,,,,,,,,,,,,
8888,sailing,portfolio images8,Sail in the Sea,https://nisha-nagen.github.io/statictemplate/images/p8.jpg,8888,,,,,,,,,,,,,,
9999,mywork1,portfolio images9,Girl with Hat,https://nisha-nagen.github.io/statictemplate/images/avatar_hat.jpg,9999,,,,,,,,,,,,,,
100,mywork2,portfolio images10,parallex1,https://nisha-nagen.github.io/statictemplate/images/parallax1.jpg,100,,,,,,,,,,,,,,
200,mywork3,portfolio images11,parallex2,https://nisha-nagen.github.io/statictemplate/images/parallax2.jpg,200,,,,,,,,,,,,,,
300,mywork4,portfolio images12,parallex3,https://nisha-nagen.github.io/statictemplate/images/parallax3.jpg,300,,,,,,,,,,,,,,
